order_numer,number_of_orders_past_3_months,gross_sum_orders_past_3_months,numer_of_orders_future_3_months,gross_sum_orders_future_3_months
656600000000020000000000000002074906042021,1,55.14,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
624700000000020000000000000003081406042021,1,80.33,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094255924,1,171.72,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094259781,1,99.99,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
629600000000040000000000000003710007042021,1,22.93,1,22.93
656100000000010000000000000010453907042021,2,63.75,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
654000000000020000000000000000413510042021,2,63.75,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094311804,3,112.15,3,112.15
AD094312060,3,112.15,3,112.15
657400000000020000000000000000113509042021,3,112.15,3,112.15
AD094313815,1,218.16,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094326240,1,99.81,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094329934,1,370.0,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094358631,2,43.58,2,43.58
AD094547094,2,43.58,2,43.58
620200000000030000000000000013658108042021,1,83.94,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
614900000000020000000000000001978608042021,2,289.56,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
614900000000020000000000000001978708042021,2,289.56,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094372023,1,79.19,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094384131,1,17.24,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
619500000000010000000000000005682608042021,1,88.93,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094385866,2,162.82,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
653700000000020000000000000002476213042021,2,162.82,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
618100000000050000000000000003393508042021,1,20.99,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094409539,3,72.38,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094450737,3,72.38,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094451280,3,72.38,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094409520,1,28.1,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094430180,1,191.25,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094433165,1,92.02,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
